"","traitName","H2","H2_se","h2","h2_se","R2_UBHDD","R2_UBHDD_se","R2_UBHDD_shuffle","R2_UBHDD_shuffle_se","R2_TG_Tg","R2_TG_Tng","h2_Tg","h2_Tng","QTL_num_Tg","QTL_num_Tng","identical_score"
"111","D172_A1B",0.168334535089932,0.0369911288422261,0.127565146440123,0.0369627890004528,0.442483900226404,0.101234409277799,0.00190878371271895,0.00506284603319697,0.448232393192448,0.236161082900248,0.193198582142271,0.00663660239875793,4,0,0.89740054937949
"112","D175_A1B",0.249123401038418,0.0564430206833286,0.157858958643908,0.0455278593286636,0.582358199630307,0.0893570696017322,0.00342851934563213,0.0055274082524494,0.471968126385308,0.183373546606848,0.151886074494386,0.040402498511038,3,0,0.949814035410978
"113","D178_A1B",0.265113182033866,0.0561701144152029,0.152492897188247,0.0450358208835493,0.635642391498255,0.055212328444024,0.00384961351432984,0.00745300116196741,0.482099882688084,0.191292976177941,0.135427372701369,0.048359408501997,3,0,0.914802355320508
"114","D181_A1B",0.452977429329595,0.0346598287044411,0.0797583498091149,0.038222960321982,0.718292803204411,0.0912787718734716,0.00215733469903399,0.00358380066769685,0.630974230095052,0.107758896778895,0.0910789192148525,0.036707095099356,2,0,0.904168896900669
"115","D184_A1B",0.151249940262591,0.0397028714658394,0.16001577564736,0.0406352278425578,0.728548753940728,0.0771400901116275,0.00474979514268863,0.00616499330572899,0.525712190362044,0.137036820760764,0.170144366195883,0.0354619091675229,2,0,0.609412654706454
"116","D190_A1B",0.172321096154301,0.0449333966778307,0.178214761331339,0.0535886654669023,0.421015535721318,0.108304394988145,0.000711467590838486,0.00141468611897322,0.405132916084813,0.215177476240608,0.219964877096266,0.0379893683536301,3,0,0.380222336185913
"117","D193_A1B",0.223555352791485,0.036860229896431,0.144184974145148,0.0415384918715536,0.484398271224573,0.0956824663251812,0.00189604531086501,0.00381193184651228,0.507743839764031,0.398705700655525,0.148827948617721,0.102369114216889,5,2,0.552151762770185
"118","D196_A1B",0.435869092959884,0.0484330496350657,0.00778760521211685,0.0254765599366591,0.728537475584742,0.0445880702442859,0.00394655031156214,0.00761540433141951,0.72272872278273,0.138568222460102,0.00289140216434544,0.0245107651110914,0,0,0.955857991412476
"119","CCV11.1_A1B",0.309095227789119,0.0391546042862047,0.185358319338449,0.0454756762175473,0.28170453181951,0.0751299080799273,0.00342534004159814,0.00667378235321283,0.400195127562322,0.361303120832878,0.177934328683784,0.0928181433601998,3,0,0.898640709909408
"120","CCV11.2_A1B",0.0870567817330713,0.0409302732359606,0.0532989667156458,0.0382424784095978,0.431875521107027,0.124852157607188,0.00451356176055916,0.0084295375389804,0.347839534845473,0.259736020666404,0.0487305448887009,0.0449545233188862,1,0,0.67374293507806
"121","CCV12.1_A1B",0.389883047282956,0.0397922165913053,0.167217563346282,0.0474683389256729,0.378469529337666,0.109356444923796,0.00377075894389696,0.00731592256332778,0.477752359524416,0.313873298317683,0.153369854316005,0.0823349560736756,2,1,0.93863699395613
"122","CCV12.2_A1B",0.0795849857362533,0.0392411558830478,0.0524922298088005,0.036101178072759,0.599982947686893,0.103156811376162,0.00516687532480014,0.0107114750418323,0.38554270432318,0.193248285022679,0.0458304215689729,0.004198334097223,1,0,0.808040978188024
"123","CCV13_A1B",0.0429192487263065,0.0415144592842962,0.0444581985257356,0.0258383153716044,0.102606252918834,0.0451249452470515,0.00362123517632066,0.00869251129510046,0.149632513642713,0.490679605653485,0.167176868012412,0.0230802455326098,3,0,0.479277047649779
"124","CCV101_A1B",0.261888036586936,0.0374509474443816,0.157461876232893,0.0402721533787202,0.34310555400512,0.146849514214404,0.00459947660038212,0.0143148151491646,0.441482582010813,0.31656340972309,0.15811878013372,0.0552247591859208,2,0,0.846314248677447
"125","CCV102_A1B",0.181358966843802,0.0389555748642735,0.096123445245965,0.0400169810279821,0.362319312406513,0.153311623028912,0.002461317019157,0.00459753808820419,0.396568570256775,0.328065231122989,0.0667959902743213,0.0430314298403782,1,0,0.834131590434269
"126","CCV103_A1B",0.499235387648182,0.0505460984919231,0.201322214416669,0.0538363674301222,0.535853468769202,0.0790884687206864,0.00425555212163823,0.00962112903770311,0.61602196244882,0.227935962392555,0.234200579100905,0.0759092515617353,5,1,0.872324584548922
"127","CCV104_A1B",0.281920396952268,0.0366717205347325,0.134347695161894,0.0335472912964694,0.255119478733565,0.0792513511542217,0.00333216598495623,0.0115458608685612,0.338911251808154,0.423454527627299,0.125922183431855,0.065435508179154,2,0,0.765620703475422
"128","CCV105_A1B",0.191885493536675,0.0433996193648907,0.0883988094891162,0.0371346133530928,0.221838374262293,0.113520445078224,0.0030674043025301,0.00646750053395283,0.352469949259503,0.346399577412762,0.0676849523050493,0.0780792922296807,1,0,0.871927974258241
"129","CCV106_A1B",0.227653168666207,0.0422441962176353,0.109790147529223,0.0392504561060137,0.294815511611722,0.0742951695840611,0.00488196279883233,0.010645018881723,0.405187985675398,0.275096640487808,0.0660875754249879,0.0729182788470583,0,0,0.776998071893816
"130","CCV107_A1B",0.0749191986620382,0.0373611252677094,0.0900241403841751,0.038924262175462,0.648939787634782,0.0735671505945068,0.00522057043834025,0.0169555039650284,0.399830181145753,0.160659240903675,0.0813591411394798,1.0025276448684e-09,0,0,0.850325223374602
"131","CCV108_A1B",0.0698111178690624,0.0461734782157653,0.0253285648948997,0.0393522046282159,0.227596592015106,0.0755323541673254,0.00177399919033325,0.00322400606024954,0.271224425511275,0.25297699531212,0.0486116601665322,1.00003457041308e-09,1,0,0.667462681399684
"132","CCV109_A1B",0.119245208912836,0.0420473733599757,0.0882314022518949,0.0343258326602046,0.322762494630508,0.110352034407895,0.00428362318481371,0.00536128889206354,0.341723411617982,0.314605064872641,0.117204578076222,0.0371135354601166,3,0,0.986556638275958
"133","CCV110_A1B",0.202407880317453,0.0445395782993924,0.0904749527518475,0.0428960803618293,0.227100851453588,0.10281781775313,0.0032334403900475,0.00900941721842706,0.384099137169057,0.28775895078312,0.0801945060643287,0.0457692355867059,3,0,0.782694914700072
"134","CCV111_A1B",0.0771622686270078,0.0374578666183445,0.0929143347161348,0.0364813713342097,0.550370374741675,0.0805403984049348,0.00446466747187426,0.0140440446722288,0.375092830655625,0.221132037085829,0.118427826136261,0.00960499314484757,2,0,0.947346441789427
"135","CCV112_A1B",0.448606998044198,0.0442837845490929,0.129646641672627,0.0425446457654702,0.503063349450934,0.0871145336168312,0.00330787312730076,0.00896986848799119,0.573821875872001,0.232882635507991,0.133735484184414,0.062027062589089,2,0,0.827742268926266
"136","CCV113_A1B",0.00647303904507881,0.0246767859781497,0.0131031271115711,0.0239968366056395,0.0680708736213868,0.0384388154617731,0.0112281612117043,0.0201523407012996,0.0868209890861034,0.414644027450648,0.120897120224478,1.00017144829647e-09,4,0,0.984689361331549
"137","CCV114_A1B",0.13461320458639,0.0387984683311857,0.178834902885283,0.0473613680391692,0.341901175586554,0.0897128544050465,0.0010186708210017,0.00285721322563094,0.385265682112606,0.306457799391277,0.134857371981021,0.0703571870790878,4,0,0.975935092834072
